,NB,DT,SVM,Network,SNB+FULL,SNB+BIC,SVM+Audio,LR_SVM,DT_Audio,LR_DT,Network_Audio,LR_network,NB_Audio,LR_NB,,,,,,,,,,,
13,0.779605263,0.815789474,0.769736842,0.911184211,0.875,0.884868421,0.851973684,0.888157895,0.842105263,0.842105263,0.697368421,0.881578947,0.779605263,0.884868421,,,,,,,,,,,
14,0.756578947,0.786184211,0.792763158,0.888157895,0.881578947,0.891447368,0.828947368,0.888157895,0.848684211,0.848684211,0.667763158,0.888157895,0.743421053,0.891447368,,,,,,,,,,,
15,0.723684211,0.802631579,0.792763158,0.875,0.845394737,0.865131579,0.805921053,0.875,0.848684211,0.848684211,0.717105263,0.868421053,0.753289474,0.865131579,,,,,,,,,,,
16,0.799342105,0.792763158,0.786184211,0.891447368,0.878289474,0.875,0.796052632,0.891447368,0.845394737,0.848684211,0.651315789,0.871710526,0.746710526,0.878289474,,,,,,,,,,,
17,0.796052632,0.799342105,0.773026316,0.884868421,0.861842105,0.865131579,0.759868421,0.875,0.865131579,0.865131579,0.394736842,0.865131579,0.743421053,0.865131579,,,,,,,,,,,
18,0.759868421,0.802631579,0.779605263,0.911184211,0.891447368,0.884868421,0.733552632,0.898026316,0.845394737,0.845394737,0.546052632,0.884868421,0.776315789,0.888157895,,,,,,,,,,,
19,0.644736842,0.786184211,0.779605263,0.822368421,0.871710526,0.881578947,0.8125,0.891447368,0.832236842,0.832236842,0.328947368,0.881578947,0.743421053,0.881578947,,,,,,,,,,,
20,0.756578947,0.805921053,0.766447368,0.911184211,0.861842105,0.868421053,0.802631579,0.881578947,0.835526316,0.835526316,0.680921053,0.871710526,0.743421053,0.868421053,,,,,,,,,,,
21,0.733552632,0.792763158,0.786184211,0.901315789,0.822368421,0.832236842,0.851973684,0.835526316,0.828947368,0.828947368,0.338815789,0.832236842,0.786184211,0.832236842,,,,,,,,,,,
22,0.707236842,0.776315789,0.802631579,0.868421053,0.868421053,0.868421053,0.789473684,0.868421053,0.851973684,0.851973684,0.730263158,0.875,0.733552632,0.868421053,,,,,,,,,,,
23,0.75,0.835526316,0.792763158,0.805921053,0.881578947,0.881578947,0.796052632,0.884868421,0.842105263,0.842105263,0.664473684,0.871710526,0.746710526,0.884868421,,,,,,,,,,,
24,0.8125,0.815789474,0.779605263,0.914473684,0.861842105,0.868421053,0.792763158,0.865131579,0.835526316,0.835526316,0.480263158,0.868421053,0.733552632,0.868421053,,,,,,,,,,,
25,0.723684211,0.8125,0.779605263,0.904605263,0.858552632,0.861842105,0.763157895,0.875,0.865131579,0.865131579,0.325657895,0.861842105,0.717105263,0.858552632,,,,,,,,,,,
26,0.743421053,0.769736842,0.769736842,0.907894737,0.891447368,0.891447368,0.789473684,0.894736842,0.819078947,0.819078947,0.388157895,0.891447368,0.789473684,0.891447368,,,,,,,,,,,
27,0.733552632,0.75,0.792763158,0.848684211,0.865131579,0.861842105,0.809210526,0.878289474,0.799342105,0.799342105,0.641447368,0.865131579,0.779605263,0.861842105,,,,,,,,,,,
28,0.677631579,0.802631579,0.789473684,0.819078947,0.848684211,0.865131579,0.792763158,0.875,0.828947368,0.828947368,0.710526316,0.865131579,0.759868421,0.865131579,,,,,,,,,,,
29,0.779605263,0.786184211,0.782894737,0.930921053,0.842105263,0.855263158,0.8125,0.858552632,0.835526316,0.835526316,0.740131579,0.855263158,0.759868421,0.855263158,,,,,,,,,,,
30,0.746710526,0.809210526,0.792763158,0.828947368,0.858552632,0.865131579,0.769736842,0.871710526,0.871710526,0.871710526,0.496710526,0.875,0.733552632,0.865131579,,,,,,,,,,,
31,0.779605263,0.815789474,0.786184211,0.865131579,0.878289474,0.878289474,0.789473684,0.881578947,0.819078947,0.819078947,0.631578947,0.861842105,0.740131579,0.878289474,,,,,,,,,,,
32,0.776315789,0.796052632,0.769736842,0.907894737,0.835526316,0.855263158,0.8125,0.868421053,0.799342105,0.799342105,0.625,0.855263158,0.796052632,0.858552632,,,,,,,,,,,
33,0.746710526,0.799342105,0.786184211,0.924342105,0.861842105,0.865131579,0.822368421,0.865131579,0.868421053,0.868421053,0.680921053,0.865131579,0.746710526,0.865131579,,,,,,,,,,,
34,0.756578947,0.802631579,0.802631579,0.671052632,0.842105263,0.851973684,0.773026316,0.858552632,0.835526316,0.835526316,0.634868421,0.851973684,0.733552632,0.851973684,,,,,,,,,,,
35,0.720394737,0.825657895,0.786184211,0.792763158,0.809210526,0.8125,0.782894737,0.8125,0.805921053,0.805921053,0.756578947,0.799342105,0.740131579,0.815789474,,,,,,,,,,,
36,0.769736842,0.796052632,0.773026316,0.891447368,0.809210526,0.822368421,0.809210526,0.822368421,0.802631579,0.809210526,0.657894737,0.825657895,0.736842105,0.822368421,,,,,,,,,,,
37,0.690789474,0.736842105,0.776315789,0.878289474,0.865131579,0.868421053,0.782894737,0.868421053,0.805921053,0.805921053,0.644736842,0.888157895,0.733552632,0.868421053,,,,,,,,,,,
38,0.756578947,0.802631579,0.799342105,0.753289474,0.848684211,0.858552632,0.733552632,0.835526316,0.822368421,0.822368421,0.503289474,0.858552632,0.802631579,0.861842105,,,,,,,,,,,
39,0.786184211,0.835526316,0.782894737,0.878289474,0.871710526,0.871710526,0.779605263,0.878289474,0.838815789,0.838815789,0.684210526,0.858552632,0.753289474,0.871710526,,,,,,,,,,,
40,0.733552632,0.782894737,0.766447368,0.898026316,0.871710526,0.881578947,0.8125,0.894736842,0.832236842,0.832236842,0.690789474,0.878289474,0.736842105,0.881578947,,,,,,,,,,,
41,0.756578947,0.779605263,0.763157895,0.657894737,0.868421053,0.875,0.792763158,0.871710526,0.848684211,0.848684211,0.319078947,0.875,0.8125,0.878289474,,,,,,,,,,,
42,0.782894737,0.8125,0.789473684,0.921052632,0.855263158,0.861842105,0.763157895,0.865131579,0.776315789,0.776315789,0.700657895,0.855263158,0.766447368,0.865131579,,,,,,,,,,,
43,0.730263158,0.799342105,0.789473684,0.914473684,0.861842105,0.878289474,0.786184211,0.901315789,0.809210526,0.809210526,0.309210526,0.878289474,0.746710526,0.888157895,,,,,,,,,,,
44,0.697368421,0.825657895,0.802631579,0.911184211,0.842105263,0.855263158,0.779605263,0.858552632,0.828947368,0.828947368,0.325657895,0.855263158,0.782894737,0.858552632,,,,,,,,,,,
45,0.710526316,0.815789474,0.779605263,0.888157895,0.845394737,0.842105263,0.786184211,0.871710526,0.884868421,0.884868421,0.700657895,0.848684211,0.753289474,0.845394737,,,,,,,,,,,
46,0.786184211,0.825657895,0.789473684,0.904605263,0.898026316,0.904605263,0.822368421,0.911184211,0.835526316,0.835526316,0.773026316,0.907894737,0.776315789,0.907894737,,,,,,,,,,,
