name,genre,lowenergy,zerocrossing_mean,centroid_mean,flux_mean,rolloff_mean,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,zerocrossing_var,centroid_var,flux_var,rolloff_var,MFCC_1_var,MFCC_2_var,MFCC_3_var,MFCC_4_var,MFCC_5_var
Blue_In_Green,jazz,0.68858856,0.099090205,0.224203639,0.002889616,0.148474347,-27.00731969,2.657054693,-0.371153014,0.376476957,-0.080822301,0.006869353,0.009617339,1.06E-05,0.043220804,4.564240129,0.485705357,0.364927238,0.197756221,0.212134557
blumonk,jazz,0.55181549,0.097086856,0.170787383,0.0018212,0.182995373,-23.92317455,1.443767125,0.017611598,-0.243850217,-0.563056431,0.000672147,0.000466691,1.93E-06,0.002574557,2.299365722,0.194815945,0.097327075,0.076540133,0.064337004
Bodysoul,jazz,0.594599476,0.05920375,0.13904279,0.002498395,0.105731752,-24.24723768,2.224489864,0.431233442,0.348396886,-0.270487111,0.000429603,0.001083267,4.06E-06,0.003166576,1.332107095,0.220070995,0.123180502,0.105247624,0.065753812
BodySoul_tb,jazz,0.550114837,0.074757445,0.131885157,0.001945204,0.123679417,-24.5347252,1.259690455,-1.416712794,-0.087709445,-0.386918758,0.000276844,0.000580663,2.80E-06,0.000678072,9.832711881,0.533146295,0.148247679,0.073436105,0.047514479
Bop_OnTR,jazz,0.581122449,0.077417561,0.190060935,0.004633535,0.111849513,-25.22697275,2.229735506,0.037421024,0.479928664,0.07058952,0.002687917,0.005723692,0.000506793,0.014611107,22.51770551,0.571426596,0.364770223,0.160804821,0.17165287
BORGAN_Lues,jazz,0.604455359,0.064396816,0.171057496,0.004212965,0.090233477,-25.52228365,2.874259262,-0.076433637,0.510143831,0.06884067,0.001202109,0.002849813,1.09E-05,0.006186613,3.389689401,0.493585251,0.287336313,0.156500767,0.222553911
Born2BBlue,jazz,0.612424764,0.076260892,0.139019385,0.0021618,0.140120831,-23.93767463,1.94356221,-0.232497809,0.214767513,-0.256639781,0.000948838,0.001388748,4.81E-06,0.004819906,4.980931697,0.683574087,0.297626178,0.110084338,0.086781885
BPowell,jazz,0.699113592,0.083389988,0.192410495,0.003802405,0.122630554,-26.24783242,2.389094501,-0.298873274,0.006252639,-0.328010776,0.002094927,0.006599343,9.61E-05,0.015930288,4.422779101,0.362879038,0.361217364,0.219319823,0.247398296
brasil,jazz,0.600182057,0.068925084,0.155874587,0.004262891,0.105467463,-25.07458769,2.784115262,0.122722634,0.360650505,-0.427140288,0.002147381,0.005422054,2.39E-05,0.010903419,4.321242716,0.641764087,0.223852364,0.161564662,0.18978181
budo,jazz,0.599478488,0.086074648,0.184797634,0.003855397,0.148681667,-25.5248208,1.738178546,0.036976723,0.56262933,-0.018396362,0.002614482,0.004536983,0.000266701,0.013178214,17.54951516,0.643802012,0.189691895,0.126250901,0.090091883
CannonBBl,jazz,0.554691642,0.05905698,0.110153408,0.002494259,0.094488679,-23.51997395,2.508266061,-0.676586544,0.208662997,-0.500619169,0.00012849,0.000481159,5.76E-06,0.000397361,1.927127291,0.241997701,0.157438248,0.131997388,0.108058977
caravan,jazz,0.683241973,0.127955507,0.210932915,0.002063427,0.226577078,-24.93071835,1.22771125,-0.002791135,0.190281467,-0.137191651,0.001431513,0.001993603,0.000183251,0.00579032,11.99018161,0.302893846,0.244332434,0.125552353,0.05998968
CarnHallBounce,jazz,0.619192867,0.060453127,0.108947338,0.003261328,0.091959843,-25.35276102,2.513019042,-0.706730669,0.509894107,-0.224712225,0.000141772,0.000584502,1.95E-05,0.000441023,4.472563093,0.382534032,0.103319677,0.160413079,0.141415906
carnival,jazz,0.568114378,0.065442505,0.165372679,0.003770953,0.09044154,-25.26031261,2.624933985,-0.029774858,0.425879432,-0.391514188,0.001242795,0.004672621,0.000148594,0.005857293,8.075107084,0.421359682,0.328703878,0.108333688,0.144841333
Cat_Walk,jazz,0.654121991,0.099221219,0.2025531,0.00395132,0.15988862,-24.65320433,2.221511318,0.239425346,0.12027343,-0.214160557,0.002998878,0.005076468,8.68E-05,0.01636719,7.06161594,0.884622002,0.590339477,0.195442166,0.144249758
CentralParkWest,jazz,0.700627538,0.072128797,0.137057167,0.002260907,0.112348277,-23.8904573,2.161858692,0.462292372,0.160583154,-0.201336852,0.000412972,0.000645734,9.97E-05,0.002847167,11.10927861,0.166780569,0.079095556,0.072459056,0.053139133
Cheek_To_Cheek,jazz,0.593561747,0.110974039,0.239679762,0.003133781,0.17053468,-24.14568526,1.962412956,0.004869021,0.329064585,0.046147318,0.003652547,0.005549411,0.000145189,0.023861541,11.89621346,0.389749443,0.401042099,0.141286382,0.141962031
Chega_de_saudade,jazz,0.633888473,0.082263011,0.134698703,0.003288434,0.135132639,-24.19259479,2.44778733,-0.172166509,0.226275408,-0.135380384,0.003254403,0.003862221,9.54E-05,0.010338489,9.232454762,0.458735673,0.336653388,0.221574542,0.266948219
CHIM,jazz,0.614802065,0.062559541,0.117025473,0.003450162,0.085590586,-24.75090287,2.500115403,-0.880366973,0.076110114,-0.404879858,0.000355289,0.000682102,9.92E-06,0.000773015,3.320691036,0.370689548,0.197628882,0.244037073,0.239478671
chromBlinF,jazz,0.642020307,0.057797685,0.134388309,0.006123344,0.061602984,-26.33031974,3.022399539,-0.786882118,-0.348641999,-0.04920757,0.000370576,0.001025403,5.93E-05,0.000516851,2.87642039,0.813998233,0.366883515,0.49361891,0.677144771
chsticks,jazz,0.588634206,0.126186285,0.20733746,0.002500304,0.206476862,-26.06983663,1.936072778,0.138177181,0.162518722,-0.278097782,0.004182275,0.004935712,0.00012114,0.018464715,10.74784787,0.774885452,0.234054219,0.149813951,0.128285007
cjamblusx,jazz,0.675475952,0.078331845,0.184789164,0.004620498,0.105703467,-26.03812988,2.181467731,-0.500026669,0.390895195,-0.063801225,0.001485948,0.004311544,0.000141827,0.007239848,9.886290769,0.689388052,0.385120032,0.195848719,0.227146236
CleanSweep,jazz,0.640683141,0.083332315,0.208447387,0.004184158,0.120252342,-26.53592861,2.511234407,0.537780277,0.201587807,-0.191742887,0.003451195,0.009668029,6.48E-05,0.02449411,19.86449262,0.814357961,0.311144332,0.224396522,0.172954419
comerain,jazz,0.654713545,0.070071408,0.171306958,0.004401841,0.102217593,-26.17294809,2.372348331,-0.162389564,0.443496301,-0.101550074,0.001510169,0.005101822,2.44E-05,0.008005337,3.68244401,0.441220764,0.370400558,0.184079307,0.201482385
comerain2,jazz,0.578940236,0.069241221,0.180224344,0.003982292,0.099831055,-25.86540661,2.673794956,0.606784627,0.244763646,-0.274563009,0.002081102,0.004847985,1.30E-05,0.011403491,2.598606252,0.357221014,0.19156321,0.17541581,0.172783304
CottonG,jazz,0.632870982,0.109806105,0.227693073,0.002732947,0.169115679,-24.61394535,1.700831041,0.213531463,0.237142669,-0.163687398,0.002810103,0.002959731,9.34E-05,0.012017419,13.29288623,0.724076997,0.21563109,0.126303355,0.125629769
criss-cross,jazz,0.566878981,0.043613259,0.150474076,0.005113019,0.044775898,-25.2581816,3.447976315,0.408577481,0.153326444,-0.28359441,0.000525634,0.002028519,1.27E-05,0.001170092,1.808856371,0.524185212,0.19057201,0.179535539,0.193720662
Cute,jazz,0.69106116,0.159323155,0.270471404,0.00308849,0.280554151,-27.18130538,1.51851595,0.317304842,0.134257494,-0.051360638,0.016353248,0.012262694,0.000147792,0.058512422,25.23350979,0.599301332,0.314044131,0.229895166,0.123229362
Datdere2,jazz,0.592436265,0.09687692,0.190702433,0.002476127,0.14968104,-23.04147585,1.5619486,-0.591903518,-0.183517111,-0.526460941,0.004618332,0.004367732,1.26E-05,0.017360974,7.546224318,0.592087994,0.384102577,0.131027986,0.128466701
DATDoor,jazz,0.597521348,0.0685221,0.146249184,0.003095246,0.104800694,-25.56786735,2.62681239,-0.303506908,0.079671647,-0.099316992,0.000805526,0.001934541,7.55E-05,0.003999476,17.90303401,0.844833604,0.240459148,0.108438218,0.113110825
daybyday,jazz,0.726732841,0.124540445,0.222841534,0.002521465,0.211261076,-26.09965624,1.271166771,-0.007058279,0.242944751,-0.12522283,0.004883018,0.004439068,8.59E-05,0.020685251,12.72916218,0.714084801,0.413690305,0.160333061,0.101573101
daybyday2,jazz,0.598197683,0.066900729,0.164715508,0.004019484,0.100888594,-25.46153728,2.940611346,-0.141142905,0.41677938,-0.322141803,0.002234092,0.005968401,0.000149529,0.013744919,10.25527943,0.574187255,0.251993964,0.099044359,0.151038035
DaysOf,jazz,0.651953037,0.065087282,0.164768801,0.00389656,0.087771408,-26.8804628,2.73295792,-0.135601953,0.529320672,-0.105167029,0.003448612,0.004732745,1.92E-05,0.012366497,5.411983333,0.519618423,0.398117415,0.185161073,0.182472769
Desafinado78,jazz,0.554824737,0.088250056,0.194112255,0.003023281,0.143459532,-24.73082503,2.06750435,0.340124749,0.344488273,0.045586056,0.003191487,0.003853924,3.56E-05,0.013309974,6.993179865,0.370999013,0.10837639,0.114289049,0.085537148
dig,jazz,0.610278038,0.067856151,0.119717368,0.003222179,0.105638778,-25.02814297,2.168221216,-0.891171172,0.15023947,-0.540408028,0.000213518,0.000526765,1.11E-05,0.000595751,5.767701343,0.239161463,0.111837733,0.091126755,0.111439573
don-lee2,jazz,0.578486472,0.130283766,0.275134443,0.00276284,0.186187778,-25.09950431,2.485173559,-0.399494717,-0.007141063,-0.16461522,0.008209268,0.008762692,3.29E-05,0.053934783,6.258415164,0.386225462,0.281705325,0.191023966,0.203784591
doxy,jazz,0.542860734,0.060892127,0.156666186,0.004646545,0.112526108,-26.25374623,2.377590977,0.494406001,0.495854597,0.05845938,0.002677012,0.007960786,5.35E-05,0.012815635,13.30971037,1.10889505,0.343776217,0.192587566,0.188374887
DstMeT,jazz,0.591403082,0.100437779,0.192879286,0.002588429,0.154425707,-24.72865753,1.923616411,0.036631998,0.036002275,-0.223569442,0.001138126,0.002190159,0.000150578,0.006447216,11.16679504,0.589864862,0.219518889,0.319344691,0.121516098
eastofthesun,jazz,0.69286066,0.063909941,0.115146739,0.003169621,0.096852685,-27.0579911,2.205842837,-0.963286389,0.197404482,-0.42042404,0.000322932,0.00074622,9.72E-05,0.000710437,10.24644974,0.555347042,0.267420188,0.191579892,0.16967725
EndOfSummer,jazz,0.651863462,0.059706179,0.126144434,0.003299091,0.083780416,-26.2436694,2.560591812,0.105469027,0.375601123,-0.269945429,0.000761926,0.001502502,0.000174432,0.002581366,22.72011943,0.429795911,0.258168025,0.111105484,0.149403493
FarWes,jazz,0.539982031,0.051321123,0.106505275,0.003602295,0.08010313,-24.57700861,2.661350973,0.368848786,0.187450285,-0.545418952,0.000416855,0.000684,0.000114022,0.002633412,7.6336466,0.307116584,0.163267985,0.161855735,0.10380326
FastBluesJam,jazz,0.541236404,0.053390938,0.186483832,0.006032556,0.049456098,-25.67090625,3.063944906,0.568545396,0.385488841,0.071831817,0.001115005,0.002803411,0.00014741,0.003964135,6.165208341,0.419527396,0.194341482,0.137753826,0.130618386
favorite,jazz,0.611755343,0.058622345,0.111802903,0.003425734,0.091024505,-25.25590177,2.356904188,-0.670540821,0.371862271,-0.256825402,0.0002756,0.00066602,0.000118517,0.000784615,9.178511406,0.311079099,0.140714496,0.197045148,0.170773067
felicid,jazz,0.545021494,0.060379217,0.151736393,0.004765696,0.067273356,-24.27566028,3.027866662,0.0590456,0.220503888,-0.273850493,0.000733068,0.00247704,2.24E-05,0.001778937,1.456699248,0.306701268,0.291807616,0.276142081,0.27123758
flybynight,jazz,0.60338785,0.119241338,0.243743592,0.003000507,0.199465591,-25.99441007,2.025570727,0.334174629,-0.013003647,-0.152147094,0.004314804,0.0069806,2.62E-05,0.029992786,15.52612474,0.510543732,0.30484513,0.173653154,0.152491856
Footprints_R,jazz,0.592835048,0.061871149,0.152842985,0.003934758,0.076218256,-24.31942957,2.804094303,0.080173233,0.237794898,-0.227935555,0.00085489,0.002881869,0.000115656,0.003103936,9.522381638,0.468445944,0.234638604,0.102873501,0.113452216
foreplayx,jazz,0.689060569,0.05708677,0.107754533,0.003512717,0.089388773,-26.68132344,2.568193249,-0.490517249,0.265543104,-0.342751081,0.000397296,0.000730732,4.45E-05,0.001428934,8.163022607,0.441536549,0.247265567,0.167295457,0.148870398
four2,jazz,0.626855023,0.082350675,0.173010239,0.004001055,0.142217554,-25.64115676,1.911426329,-0.193039772,0.399342196,-0.102700175,0.001597824,0.002999435,0.0001506,0.008819908,10.14701053,1.005441801,0.411307687,0.220362327,0.209183693
FreckleFace,jazz,0.665607793,0.110365187,0.199569597,0.00220947,0.185506541,-25.51594365,1.378814038,-0.297064409,0.178533674,-0.171158084,0.001865938,0.003161603,2.85E-05,0.010725955,15.5381802,0.722811536,0.377928777,0.207787487,0.124943138
Freedom_At_Midnight,jazz,0.616961498,0.079980077,0.16200433,0.003543076,0.110057015,-24.89349388,2.461935157,-0.276950813,0.271744062,-0.207128335,0.001530839,0.003950364,2.74E-05,0.007137026,10.14890841,0.685643688,0.362495792,0.17639345,0.1480232
funkallero,jazz,0.641667873,0.086972147,0.185956906,0.003629403,0.123235929,-26.08746066,1.996969214,-0.474087243,0.518359625,-0.186964157,0.00201613,0.004901983,2.52E-05,0.010131552,6.207171445,0.867440144,0.397575088,0.342799553,0.243242884
funnyval2,jazz,0.668990331,0.054811876,0.106519045,0.002721773,0.08642789,-26.16526279,2.721631547,-0.679811768,0.282736601,-0.39698727,0.000203619,0.000670082,0.000204567,0.000524507,11.8401818,0.350809612,0.11736946,0.108274718,0.091268922
GentleRain,jazz,0.672037839,0.068195106,0.134948835,0.004471592,0.096330604,-26.50789107,2.380912314,-0.654591905,0.440711248,-0.162289421,0.000575561,0.001639859,2.59E-05,0.001676402,4.735938246,0.642423295,0.244109555,0.187270045,0.193186444
goodbait,jazz,0.587297185,0.07848477,0.208754202,0.003235154,0.109534712,-25.48774655,2.525120027,0.271539098,0.232292588,-0.426648081,0.001882426,0.006012194,0.0001496,0.016325437,8.67777756,0.283340866,0.174936793,0.179477744,0.103860147
