,knn_22_16,knn_22_32,knn_44_16,knn_44_32,ldc_22_16,ldc_22_32,ldc_44_16,ldc_44_32,vote_const,vote_accuracy,,,
14,0.624203822,0.624203822,0.627388535,0.649681529,0.805732484,0.805732484,0.789808917,0.808917197,0.802547771,0.799363057,,,
15,0.630573248,0.630573248,0.630573248,0.621019108,0.799363057,0.799363057,0.789808917,0.796178344,0.796178344,0.796178344,,,
16,0.589171975,0.589171975,0.592356688,0.589171975,0.786624204,0.786624204,0.792993631,0.76433121,0.799363057,0.802547771,,,
17,0.589171975,0.589171975,0.589171975,0.621019108,0.796178344,0.796178344,0.799363057,0.796178344,0.802547771,0.808917197,,,
18,0.611464968,0.611464968,0.614649682,0.608280255,0.799363057,0.799363057,0.792993631,0.792993631,0.802547771,0.799363057,,,
19,0.649681529,0.649681529,0.646496815,0.665605096,0.805732484,0.805732484,0.808917197,0.824840764,0.808917197,0.818471338,,,
20,0.608280255,0.608280255,0.605095541,0.614649682,0.789808917,0.789808917,0.77388535,0.770700637,0.799363057,0.796178344,,,
21,0.652866242,0.652866242,0.646496815,0.665605096,0.815286624,0.815286624,0.812101911,0.824840764,0.818471338,0.821656051,,,
22,0.640127389,0.640127389,0.643312102,0.636942675,0.805732484,0.805732484,0.792993631,0.818471338,0.815286624,0.821656051,,,
23,0.630573248,0.630573248,0.636942675,0.624203822,0.789808917,0.789808917,0.780254777,0.789808917,0.792993631,0.78343949,,,
24,0.611464968,0.611464968,0.617834395,0.614649682,0.818471338,0.818471338,0.802547771,0.808917197,0.818471338,0.812101911,,,
25,0.627388535,0.627388535,0.624203822,0.624203822,0.799363057,0.799363057,0.799363057,0.815286624,0.799363057,0.805732484,,,
26,0.624203822,0.624203822,0.621019108,0.614649682,0.805732484,0.805732484,0.799363057,0.789808917,0.796178344,0.802547771,,,
27,0.633757962,0.633757962,0.627388535,0.605095541,0.824840764,0.824840764,0.818471338,0.821656051,0.824840764,0.824840764,,,
28,0.598726115,0.598726115,0.601910828,0.595541401,0.802547771,0.802547771,0.796178344,0.821656051,0.805732484,0.805732484,,,
29,0.614649682,0.614649682,0.605095541,0.611464968,0.799363057,0.799363057,0.808917197,0.802547771,0.808917197,0.808917197,,,
30,0.579617834,0.579617834,0.585987261,0.605095541,0.786624204,0.786624204,0.786624204,0.786624204,0.792993631,0.792993631,,,
31,0.646496815,0.646496815,0.643312102,0.659235669,0.802547771,0.802547771,0.799363057,0.805732484,0.805732484,0.808917197,,,
32,0.598726115,0.598726115,0.592356688,0.598726115,0.796178344,0.796178344,0.796178344,0.796178344,0.796178344,0.792993631,,,
33,0.630573248,0.630573248,0.627388535,0.621019108,0.821656051,0.821656051,0.815286624,0.812101911,0.815286624,0.805732484,,,
34,0.656050955,0.656050955,0.656050955,0.627388535,0.821656051,0.821656051,0.812101911,0.824840764,0.821656051,0.828025478,,,
35,0.601910828,0.601910828,0.608280255,0.582802548,0.815286624,0.815286624,0.815286624,0.815286624,0.815286624,0.812101911,,,
36,0.608280255,0.608280255,0.611464968,0.592356688,0.789808917,0.789808917,0.796178344,0.786624204,0.789808917,0.789808917,,,
37,0.636942675,0.636942675,0.640127389,0.652866242,0.767515924,0.767515924,0.757961783,0.761146497,0.767515924,0.780254777,,,
38,0.633757962,0.633757962,0.630573248,0.646496815,0.789808917,0.789808917,0.780254777,0.786624204,0.792993631,0.796178344,,,
39,0.605095541,0.605095541,0.608280255,0.601910828,0.831210191,0.831210191,0.812101911,0.818471338,0.824840764,0.821656051,,,
40,0.630573248,0.630573248,0.630573248,0.611464968,0.78343949,0.78343949,0.786624204,0.789808917,0.786624204,0.789808917,,,
41,0.621019108,0.621019108,0.621019108,0.601910828,0.761146497,0.761146497,0.76433121,0.76433121,0.761146497,0.76433121,,,
42,0.611464968,0.611464968,0.617834395,0.630573248,0.77388535,0.77388535,0.767515924,0.780254777,0.777070064,0.78343949,,,
43,0.621019108,0.621019108,0.614649682,0.617834395,0.767515924,0.767515924,0.75477707,0.792993631,0.767515924,0.757961783,,,
44,0.636942675,0.636942675,0.640127389,0.640127389,0.786624204,0.786624204,0.799363057,0.77388535,0.792993631,0.792993631,,,
45,0.579617834,0.579617834,0.585987261,0.617834395,0.780254777,0.780254777,0.786624204,0.777070064,0.789808917,0.780254777,,,
46,0.624203822,0.624203822,0.611464968,0.614649682,0.792993631,0.792993631,0.805732484,0.748407643,0.789808917,0.796178344,,,
47,0.605095541,0.605095541,0.605095541,0.605095541,0.812101911,0.812101911,0.796178344,0.802547771,0.808917197,0.808917197,,,
